"Timestamp","Din TBF","Jordnötens nummer","Betygsätt totalupplevelsen","Salt","Knaprig","Rostad","Flottig","Kommentar"
"2016-09-24 19:17:46 +0200","SAS","4","5","2","2","3","3",""
"2016-09-24 19:17:46 +0200","DDR","20","4","5","3","2","5",""
"2016-09-24 19:18:00 +0200","ARN","2","4","4","3","5","5",""
"2016-09-24 19:18:08 +0200","DAG","17","6","6","4","6","6",""
"2016-09-24 19:18:25 +0200","OSV","20","6","6","6","5","6",""
"2016-09-24 19:18:46 +0200","DAG","18","4","6","4","5","6",""
"2016-09-24 19:19:03 +0200","ARN","8","6","5","5","3","4",""
"2016-09-24 19:19:04 +0200","PSI","13","4","3","4","5","5",""
"2016-09-24 19:19:29 +0200","DAG","19","4","5","6","5","4",""
"2016-09-24 19:20:41 +0200","JPY","10","3","7","6","6","2","För salt. En åtta där. Ej så fyllig jordnötighet heller. Till öl acceptabel."
"2016-09-24 19:20:50 +0200","PSI","14","3","2","6","6","2",""
"2016-09-24 19:21:04 +0200","IFK","14","6","4","5","5","2",""
"2016-09-24 19:21:34 +0200","FTV","16","6","6","4","5","4",""
"2016-09-24 19:21:37 +0200","NDF","17","5","5","3","5","5",""
"2016-09-24 19:21:51 +0200","WWW","17","5","6","5","5","5",""
"2016-09-24 19:21:55 +0200","DAG","1","2","1","7","1","1",""
"2016-09-24 19:22:17 +0200","SAS","13","6","3","4","4","3",""
"2016-09-24 19:22:20 +0200","PSI","15","3","2","3","5","2",""
"2016-09-24 19:22:22 +0200","NDF","11","3","3","4","5","3",""
"2016-09-24 19:22:27 +0200","IFK","12","5","3","5","5","2",""
"2016-09-24 19:22:29 +0200","WWW","11","5","4","3","6","4",""
"2016-09-24 19:22:35 +0200","DAG","13","2","2","5","4","2",""
"2016-09-24 19:23:33 +0200","SCB","15","1","1","4","3","2",""
"2016-09-24 19:23:33 +0200","DAG","15","1","1","5","3","2",""
"2016-09-24 19:23:45 +0200","IFK","15","2","2","4","2","1",""
"2016-09-24 19:24:24 +0200","DAG","20","2","3","2","4","4",""
"2016-09-24 19:24:51 +0200","WWW","7","2","3","3","3","3",""
"2016-09-24 19:25:01 +0200","DAG","9","2","1","5","5","2",""
"2016-09-24 19:25:26 +0200","JPY","7","4","1","3","3","2","Njae. Bra till matlagning."
"2016-09-24 19:25:44 +0200","WWW","19","4","4","3","3","5",""
"2016-09-24 19:26:00 +0200","DAG","14","5","3","5","4","4",""
"2016-09-24 19:26:23 +0200","IFK","20","3","2","4","3","4","Smakar banan?"
"2016-09-24 19:26:39 +0200","PSI","16","5","5","4","5","6",""
"2016-09-24 19:27:16 +0200","JPY","19","7","6","5","5","5","Fin. Fyllig. Ren bra eftersmak."
"2016-09-24 19:27:29 +0200","NDF","8","1","4","4","4","5","Syr"
"2016-09-24 19:27:50 +0200","WWW","10","3","5","4","5","3","Jättekonstiga!"
"2016-09-24 19:28:19 +0200","NDF","2","3","2","3","3","2",""
"2016-09-24 19:28:21 +0200","IFK","9","4","2","5","5","3",""
"2016-09-24 19:28:30 +0200","PSI","17","6","5","6","5","5",""
"2016-09-24 19:29:08 +0200","WWW","3","4","5","4","5","3",""
